Year;Champion;Role;P;B;W;K;D
2020;Gragas;Jungle;3.9;3.9;67;11;6
2020;Graves;Jungle;68.4;23.7;44;180;142
2020;Hecarim;Jungle;5.3;5.3;50;12;8
2020;Irelia;Top;2.6;7.9;50;8;7
2020;Jarvan IV;Jungle;3.9;2.6;67;3;7
2020;Jax;Top;9.2;6.6;71;29;19
2020;Jayce;Middle;3.9;3.9;33;11;13
2020;Jayce;Top;6.6;3.9;20;16;17
2020;Jhin;ADC;40.8;14.5;65;131;44
2020;Kalista;ADC;10.5;22.4;25;16;27
2020;Karma;Support;5.3;5.3;75;1;6
2020;Karthus;ADC;1.3;1.3;0;3;6
2020;Kassadin;Middle;2.6;3.9;0;5;12
2020;Kayle;Top;1.3;0.0;0;0;2
2020;Kennen;Top;5.3;3.9;100;14;13
2020;KhaZix;Jungle;1.3;0.0;0;2;6
2020;Kindred;Jungle;25.0;11.8;58;66;36
2020;LeBlanc;Middle;1.3;0.0;0;2;4
2020;Lee Sin;Jungle;13.2;3.9;40;26;27
2020;Leona;Support;31.6;23.7;71;21;81
2020;Lillia;Jungle;32.9;17.1;48;72;78
2020;Lucian;ADC;1.3;78.9;0;0;2
2020;Lucian;Middle;13.2;78.9;60;43;29
2020;Lulu;Middle;1.3;9.2;0;2;3
2020;Lulu;Support;6.6;9.2;60;4;8
2020;Lulu;Top;5.3;9.2;50;4;10
2020;Lux;Support;6.6;3.9;40;2;9
2020;Malphite;Top;5.3;0.0;50;8;7
2020;Maokai;Top;1.3;0.0;100;1;3
2020;Miss Fortune;ADC;6.6;0.0;60;18;11
2020;Mordekaiser;Top;2.6;3.9;0;8;7
2020;Nautilus;Support;17.1;6.6;15;8;58
2020;Nidalee;Jungle;26.3;63.2;55;65;42
2020;Nocturne;Middle;1.3;0.0;100;5;3
2020;Orianna;Middle;36.8;15.8;54;94;53
2020;Ornn;Top;38.2;52.6;48;37;66
2020;Pantheon;Support;22.4;27.6;59;44;59
2020;Quinn;Top;1.3;0.0;0;2;4
2020;Rakan;Support;18.4;11.8;50;8;35
2020;Renekton;Top;28.9;39.5;36;55;82
2020;Rengar;Jungle;1.3;0.0;100;2;1
2020;Ryze;Middle;1.3;0.0;0;1;4
2020;Senna;ADC;39.5;15.8;47;58;58
2020;Senna;Support;1.3;15.8;0;1;4
2020;Sett;Jungle;1.3;30.3;0;0;1
2020;Sett;Middle;3.9;30.3;100;9;1
2020;Sett;Support;11.8;30.3;44;17;45
2020;Sett;Top;5.3;30.3;50;13;12
2020;Shen;Jungle;2.6;31.6;50;7;6
2020;Shen;Top;7.9;31.6;67;12;18
2020;Singed;Top;1.3;0.0;100;2;3
2020;Sion;Top;7.9;1.3;50;12;14
2020;Sylas;Jungle;2.6;11.8;100;5;4
2020;Sylas;Middle;10.5;11.8;50;29;18
2020;Sylas;Top;1.3;11.8;100;5;0
2020;Syndra;Middle;36.8;52.6;50;84;65
2020;Tahm Kench;Support;19.7;18.4;53;17;55
2020;Taric;Support;3.9;0.0;33;0;5
2020;Thresh;Support;13.2;18.4;40;4;26
2020;Twisted Fate;Middle;21.1;60.5;56;52;39
2020;Twitch;ADC;2.6;15.8;0;6;6
2020;Urgot;Top;1.3;0.0;0;3;4
2020;Vayne;Middle;1.3;0.0;100;11;1
2020;VelKoz;Middle;2.6;0.0;0;3;6
2020;Vladimir;Top;3.9;3.9;67;5;6
2020;Volibear;Jungle;6.6;18.4;60;12;11
2020;Volibear;Top;22.4;18.4;53;40;54
2020;Wukong;Top;3.9;6.6;33;7;12
2020;Ziggs;ADC;2.6;0.0;0;2;7
2020;Zilean;Middle;2.6;0.0;0;1;2
2020;Zoe;Middle;10.5;3.9;63;25;11
2021;Aatrox;Middle;1.2;1.2;100;2;2
2021;Aatrox;Top;2.4;1.2;50;6;2
2021;Alistar;Support;6.0;0.0;40;6;19
2021;Amumu;Support;1.2;7.2;100;2;4
2021;Annie;Middle;2.4;1.2;50;6;6
2021;Aphelios;ADC;37.3;41.0;61;115;63
2021;Ashe;ADC;1.2;0.0;0;2;6
2021;Azir;Middle;12.0;14.5;40;34;34
2021;Braum;Support;13.3;9.6;36;4;38
2021;Camille;Top;8.4;10.8;57;16;30
2021;Draven;ADC;4.8;21.7;25;11;8
2021;Ezreal;ADC;13.3;9.6;55;42;23
2021;Fiddlesticks;Jungle;2.4;2.4;50;8;9
2021;Fiora;Top;2.4;0.0;100;10;2
2021;Galio;Middle;3.6;9.6;33;8;10
2021;Gangplank;Top;2.4;3.6;100;10;7
2021;Gnar;Top;9.6;2.4;38;17;20
2021;Gragas;Jungle;1.2;1.2;0;2;7
2021;Gragas;Support;1.2;1.2;0;1;5
2021;Gragas;Top;4.8;1.2;50;13;13
2021;Graves;Jungle;3.6;34.9;0;4;12
2021;Graves;Top;39.8;34.9;64;102;76
2021;Gwen;Top;16.9;10.8;29;36;34
2021;Irelia;Middle;4.8;54.2;25;12;17
2021;Irelia;Top;6.0;54.2;20;7;25
2021;Jarvan IV;Jungle;33.7;39.8;50;58;87
2021;Jarvan IV;Top;3.6;39.8;0;10;9
2021;Jax;Top;8.4;0.0;43;18;23
2021;Jayce;Top;27.7;27.7;43;73;83
2021;Jhin;ADC;33.7;2.4;64;93;31
2021;Jinx;ADC;1.2;3.6;0;0;3
2021;Kaisa;ADC;9.6;2.4;38;32;18
2021;Kalista;ADC;1.2;1.2;0;6;4
2021;Kassadin;Middle;1.2;1.2;100;8;2
2021;Kennen;Top;26.5;34.9;73;94;74
2021;LeBlanc;Middle;27.7;61.4;57;95;44
2021;Lee Sin;Jungle;44.6;54.2;59;117;90
2021;Leona;Support;38.6;26.5;34;22;103
2021;Lillia;Jungle;2.4;0.0;50;7;8
2021;Lissandra;Middle;6.0;3.6;80;8;8
2021;Lucian;ADC;18.1;54.2;60;58;41
2021;Lucian;Top;6.0;54.2;60;21;16
2021;Lulu;Support;19.3;3.6;56;12;34
2021;Malphite;Top;2.4;3.6;0;0;6
2021;Malzahar;Middle;3.6;2.4;67;10;6
2021;Maokai;Support;2.4;0.0;50;2;7
2021;Miss Fortune;ADC;61.4;12.0;43;179;110
2021;Nami;Support;15.7;24.1;54;11;29
2021;Nautilus;Support;12.0;4.8;50;4;47
2021;Olaf;Jungle;7.2;14.5;50;18;16
2021;Olaf;Top;2.4;14.5;0;11;10
2021;Orianna;Middle;14.5;3.6;33;23;25
2021;Poppy;Jungle;9.6;6.0;63;14;15
2021;Poppy;Top;2.4;6.0;0;1;7
2021;Pyke;Support;3.6;0.0;33;13;15
2021;Qiyana;Jungle;12.0;10.8;70;43;25
2021;Rakan;Support;34.9;19.3;62;24;75
2021;Rell;Support;10.8;3.6;56;9;32
2021;Renekton;Top;14.5;4.8;50;19;30
2021;Rumble;Middle;1.2;1.2;0;1;3
2021;Rumble;Top;2.4;1.2;50;2;7
2021;Ryze;Middle;28.9;38.6;46;71;62
2021;Sejuani;Jungle;1.2;0.0;0;4;3
2021;Seraphine;Middle;1.2;0.0;0;2;1
2021;Sett;Support;1.2;7.2;100;2;5
2021;Sett;Top;2.4;7.2;0;3;10
2021;Shaco;Jungle;1.2;0.0;0;0;4
2021;Shen;Support;3.6;0.0;33;4;9
2021;Sylas;Middle;19.3;9.6;50;63;54
2021;Syndra;Middle;16.9;10.8;64;60;29
2021;Syndra;Top;1.2;10.8;100;3;1
2021;Taliyah;Jungle;1.2;3.6;0;2;5
2021;Talon;Jungle;14.5;13.3;58;41;25
2021;Thresh;Support;14.5;21.7;58;5;26
2021;Tristana;ADC;3.6;1.2;67;9;5
2021;Trundle;Jungle;7.2;6.0;50;11;14
2021;Tryndamere;Middle;2.4;7.2;0;9;7
2021;Tryndamere;Top;1.2;7.2;0;6;6
2021;Twisted Fate;Middle;28.9;67.5;54;47;44
2021;Varus;ADC;2.4;1.2;0;1;6
2021;Viego;Jungle;21.7;8.4;56;64;38
2021;Viktor;Middle;3.6;0.0;0;13;12
2021;Wukong;Top;3.6;4.8;67;14;14
2021;Xayah;ADC;1.2;1.2;0;0;5
2021;Xin Zhao;Jungle;36.1;30.1;33;57;106
2021;Yasuo;Middle;2.4;1.2;50;11;5
2021;Yasuo;Top;2.4;1.2;50;2;5
2021;Yone;Middle;1.2;0.0;0;2;3
2021;Yuumi;Support;18.1;78.3;53;21;21
2021;Ziggs;ADC;10.8;7.2;33;21;21
2021;Zilean;Support;3.6;0.0;67;1;4
2021;Zoe;Middle;16.9;9.6;64;43;22
